                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.99627,                 1.5249,                 1.4741,                   1.31,                0.62512,                 0.5112,                0.54833,                0.39595,                0.45179,                0.38735,                0.34491,                0.20379,                 1.5877,                 3.3211,                 2.1637,                 1.5702,              0.0089076,              0.0089076,              0.0089076
                     34,                0.94209,                 1.3998,                 1.4029,                 1.2631,                0.71462,                0.47508,                0.52383,                0.37777,                0.60608,                0.32754,                0.34342,                0.20745,                 1.5627,                 3.1437,                 2.2428,                 1.6026,              0.0088734,              0.0088734,              0.0088734
                     35,                0.96341,                 1.4288,                 1.4449,                 1.2936,                0.61174,                0.50605,                0.54521,                0.39546,                0.52652,                0.35888,                0.34721,                0.21543,                 1.5569,                 3.1049,                 2.1688,                 1.5604,              0.0088393,              0.0088393,              0.0088393
                     36,                0.87913,                 1.3626,                 1.3292,                 1.2393,                0.90613,                0.38502,                0.55644,                0.42337,                0.44018,                0.36475,                0.37386,                0.21611,                 1.5212,                 3.1453,                 2.0873,                 1.5453,              0.0088052,              0.0088052,              0.0088052
                     37,                0.87024,                 1.3069,                 1.2959,                 1.2348,                0.85195,                0.36261,                0.52954,                0.37503,                0.32493,                0.31689,                0.30841,                0.19133,                 1.4699,                 3.2739,                 2.1622,                 1.5482,               0.008771,               0.008771,               0.008771
                     38,                0.84418,                 1.2941,                 1.2656,                 1.2072,                0.75944,                0.42744,                0.54774,                 0.3859,                0.35106,                0.37281,                0.33056,                0.20659,                 1.4745,                 3.4099,                 2.1311,                 1.5327,              0.0087369,              0.0087369,              0.0087369
                     39,                0.86246,                 1.2518,                 1.2251,                  1.229,                0.55412,                0.49429,                0.58348,                0.40235,                0.48752,                0.31399,                0.37536,                0.21817,                 1.5011,                 3.4761,                 2.1692,                 1.5528,              0.0087028,              0.0087028,              0.0087028
                     40,                0.79655,                 1.2505,                 1.1969,                 1.1724,                0.60021,                0.50148,                0.55967,                0.40118,                0.48803,                0.34527,                0.35925,                0.21694,                  1.518,                  3.217,                 2.0826,                 1.5407,              0.0086686,              0.0086686,              0.0086686
                     41,                0.80935,                  1.239,                 1.2144,                 1.1928,                0.61706,                0.50384,                0.54861,                0.39293,                0.48206,                0.31437,                0.33522,                0.20362,                 1.5628,                 3.2052,                 2.1268,                  1.562,              0.0086345,              0.0086345,              0.0086345
                     42,                0.80319,                 1.2143,                 1.1436,                 1.1779,                0.66533,                 0.5263,                 0.6081,                0.41934,                0.52173,                0.31702,                0.35732,                0.21987,                 1.4938,                  3.217,                 1.9556,                 1.5247,              0.0086003,              0.0086003,              0.0086003
                     43,                 0.8066,                 1.2269,                 1.1562,                 1.1698,                0.53305,                 0.5326,                0.57816,                0.40708,                0.44119,                0.37873,                 0.3709,                0.20931,                 1.4952,                 3.2964,                 2.0557,                 1.4974,              0.0085662,              0.0085662,              0.0085662
                     44,                0.75373,                 1.1293,                 1.0958,                  1.156,                0.54538,                0.50419,                0.56327,                0.40359,                0.43786,                0.34159,                0.37475,                0.22053,                  1.452,                 3.1695,                 2.0779,                 1.4826,              0.0085321,              0.0085321,              0.0085321
                     45,                0.77998,                 1.1889,                  1.136,                 1.1656,                0.80481,                0.42533,                 0.6036,                0.44864,                0.48996,                0.35225,                0.40326,                0.23473,                 1.4024,                 3.2532,                 2.1379,                 1.4896,              0.0084979,              0.0084979,              0.0084979
                     46,                0.74842,                 1.1427,                 1.0729,                 1.1631,                0.52769,                0.54604,                0.60107,                0.41637,                0.46237,                0.34417,                0.38212,                0.21761,                 1.4601,                 3.2782,                 2.0423,                 1.4997,              0.0084638,              0.0084638,              0.0084638
                     47,                0.75589,                 1.1033,                  1.071,                 1.1429,                0.72487,                0.52368,                0.60169,                 0.4413,                0.61013,                 0.3408,                0.40561,                0.25366,                 1.3943,                 3.1141,                   2.06,                 1.5012,              0.0084297,              0.0084297,              0.0084297
                     48,                0.72809,                 1.2105,                 1.0525,                 1.1061,                0.61808,                0.56022,                 0.5955,                0.44467,                0.53876,                0.38719,                0.40313,                0.24637,                 1.3357,                  3.181,                 1.9565,                 1.4566,              0.0083955,              0.0083955,              0.0083955
                     49,                0.70611,                 1.1315,                  1.004,                 1.1174,                0.63809,                0.53471,                0.58228,                 0.4403,                0.54669,                0.36339,                0.39921,                0.24883,                 1.2882,                 3.1123,                 1.9188,                 1.4277,              0.0083614,              0.0083614,              0.0083614
                     50,                0.71779,                 1.1237,                0.98269,                 1.1101,                0.58515,                0.51358,                 0.5644,                0.42884,                0.42369,                0.34096,                0.35027,                0.23516,                 1.3433,                 3.0909,                 1.9614,                 1.4775,              0.0083272,              0.0083272,              0.0083272
                     51,                0.68408,                  1.057,                0.96391,                 1.1192,                0.66443,                0.54545,                 0.5769,                0.42606,                0.44864,                0.39409,                0.37087,                0.23743,                  1.458,                 3.0754,                 2.0763,                 1.5504,              0.0082931,              0.0082931,              0.0082931
                     52,                0.67009,                  1.007,                0.93145,                 1.0813,                0.60602,                0.57183,                0.57507,                0.41197,                0.49128,                0.38678,                0.36365,                0.23904,                 1.4464,                 3.2924,                 2.1363,                 1.5482,               0.008259,               0.008259,               0.008259
                     53,                0.73418,                 1.0734,                0.98782,                 1.1061,                0.81882,                0.41145,                0.55124,                0.40135,                0.55312,                0.29034,                0.36653,                 0.2421,                 1.4506,                 3.1338,                 2.1471,                 1.5464,              0.0082248,              0.0082248,              0.0082248
                     54,                0.70681,                 1.1633,                 0.9775,                 1.0916,                0.72387,                0.47506,                0.56009,                0.42065,                0.54526,                0.30421,                0.36559,                0.23962,                 1.4682,                 2.9644,                  2.188,                 1.5466,              0.0081907,              0.0081907,              0.0081907
                     55,                0.65298,                 0.9831,                0.91566,                 1.0839,                0.84055,                0.45995,                0.61105,                0.48222,                 0.7255,                0.29458,                0.41458,                0.25666,                 1.3582,                 3.0022,                 2.0935,                 1.4412,              0.0081566,              0.0081566,              0.0081566
                     56,                0.66973,                 0.9939,                0.90252,                 1.0649,                0.85079,                 0.4414,                 0.5688,                0.45783,                0.49562,                0.32578,                0.38245,                 0.2348,                 1.3736,                 3.0315,                 2.0882,                 1.4672,              0.0081224,              0.0081224,              0.0081224
                     57,                0.65659,                 1.0248,                 0.9078,                  1.072,                0.72468,                0.51344,                0.59809,                0.46648,                0.60742,                0.33356,                0.39479,                0.25096,                 1.3704,                 3.3032,                 2.0627,                 1.4536,              0.0080883,              0.0080883,              0.0080883
                     58,                0.66046,                0.95101,                0.88217,                 1.0787,                0.71541,                0.51897,                0.58881,                0.46501,                0.55599,                0.32732,                0.37211,                0.25084,                 1.3229,                 3.3026,                 1.9067,                  1.401,              0.0080541,              0.0080541,              0.0080541
                     59,                0.66101,                0.94253,                 0.8558,                 1.0764,                0.72903,                 0.5399,                0.61116,                 0.4519,                0.58267,                0.34293,                0.37562,                0.24005,                 1.3209,                 3.1977,                  1.859,                 1.4056,                0.00802,                0.00802,                0.00802
                     60,                0.65308,                0.98162,                0.86785,                 1.0474,                0.72603,                0.50336,                 0.5901,                  0.459,                0.72273,                0.29877,                0.41414,                0.24806,                 1.3295,                 3.2397,                  1.876,                 1.4313,              0.0079859,              0.0079859,              0.0079859
                     61,                 0.6569,                 0.9875,                0.84894,                 1.0454,                 0.6503,                0.53673,                0.59195,                0.44944,                0.49496,                0.33126,                0.36814,                0.23666,                 1.3669,                 3.1988,                 1.8733,                 1.4379,              0.0079517,              0.0079517,              0.0079517
                     62,                0.65855,                0.94835,                0.84788,                 1.0476,                0.73083,                0.56384,                0.61615,                0.45166,                0.56068,                0.35216,                0.38807,                0.23709,                 1.3989,                 3.1537,                 1.8925,                 1.4456,              0.0079176,              0.0079176,              0.0079176
                     63,                0.65927,                0.94304,                0.86819,                 1.0469,                0.71809,                0.50167,                0.59835,                0.45453,                0.49966,                0.38672,                0.38522,                 0.2572,                 1.4198,                 3.2043,                 1.9343,                 1.4808,              0.0078834,              0.0078834,              0.0078834
